{'reward_ctrl': -0.19475688626170531, 'reward_dist': -0.11215734920258476}
{'reward_ctrl': -0.050299246310300166, 'reward_dist': -0.11403399868161922}
{'reward_ctrl': -0.10845472756595657, 'reward_dist': -0.11925503324086675}
{'reward_ctrl': -0.62952576135905303, 'reward_dist': -0.12579791542504321}
{'reward_ctrl': -0.91427614003630553, 'reward_dist': -0.13351190704449348}
{'reward_ctrl': -0.34375365692743559, 'reward_dist': -0.14722172095047609}
{'reward_ctrl': -0.74305024328192015, 'reward_dist': -0.16881626685305881}
{'reward_ctrl': -1.4178891141253873, 'reward_dist': -0.19502592917351205}
{'reward_ctrl': -1.3633053912282536, 'reward_dist': -0.21445339457848628}
{'reward_ctrl': -0.85712067179681295, 'reward_dist': -0.22186917287849947}
{'reward_ctrl': -1.2742854562634029, 'reward_dist': -0.22759016372158711}
{'reward_ctrl': -0.32072183312159225, 'reward_dist': -0.23860624695606344}
{'reward_ctrl': -0.66116922462011973, 'reward_dist': -0.24732687871028228}
{'reward_ctrl': -1.299709293567936, 'reward_dist': -0.24480577700232939}
{'reward_ctrl': -0.031039734597902609, 'reward_dist': -0.22970363635192556}
{'reward_ctrl': -0.52255270484851701, 'reward_dist': -0.20597457303413727}
{'reward_ctrl': -0.026423994889903435, 'reward_dist': -0.17619961723202435}
{'reward_ctrl': -0.98160546534548632, 'reward_dist': -0.16019580228995692}
{'reward_ctrl': -0.10495604271107058, 'reward_dist': -0.16433267050790262}
{'reward_ctrl': -0.91988391340600484, 'reward_dist': -0.16841061930571025}
{'reward_ctrl': -0.094812019374053869, 'reward_dist': -0.17029326915189499}
{'reward_ctrl': -0.92983890162935645, 'reward_dist': -0.17156754344129649}
{'reward_ctrl': -0.22771367971344109, 'reward_dist': -0.17447537384249018}
{'reward_ctrl': -0.88629581400912805, 'reward_dist': -0.17796896258723013}
{'reward_ctrl': -0.210565790398482, 'reward_dist': -0.18101944103239825}
{'reward_ctrl': -0.034789442904872528, 'reward_dist': -0.18244814744582827}
{'reward_ctrl': -1.5875093534130884, 'reward_dist': -0.18090797591777433}
{'reward_ctrl': -0.79785594326864018, 'reward_dist': -0.17959618281598116}
{'reward_ctrl': -0.33722877081682889, 'reward_dist': -0.17673003037736726}
{'reward_ctrl': -0.26581296819708244, 'reward_dist': -0.16871455057755871}
{'reward_ctrl': -1.0724371020065813, 'reward_dist': -0.15672411183231605}
{'reward_ctrl': -0.62140206894872196, 'reward_dist': -0.13410184974084768}
{'reward_ctrl': -0.43718137624658748, 'reward_dist': -0.10204642936191584}
{'reward_ctrl': -1.0614561423031525, 'reward_dist': -0.067655968777464631}
{'reward_ctrl': -1.1093730264406663, 'reward_dist': -0.055137494964375915}
{'reward_ctrl': -0.91198547583593748, 'reward_dist': -0.075633686107492604}
{'reward_ctrl': -0.95317487289217295, 'reward_dist': -0.097992403493728605}
