{'reward_dist': -0.3329504489643752, 'reward_ctrl': -0.19475688626170531}
{'reward_dist': -0.33462576258210303, 'reward_ctrl': -0.050299246310300166}
{'reward_dist': -0.33909480613845183, 'reward_ctrl': -0.10845472756595657}
{'reward_dist': -0.34448659369385576, 'reward_ctrl': -0.62952576135905303}
{'reward_dist': -0.35056693949603379, 'reward_ctrl': -0.91427614003630553}
{'reward_dist': -0.36031812131172258, 'reward_ctrl': -0.34375365692743559}
{'reward_dist': -0.37385100303632657, 'reward_ctrl': -0.74305024328192015}
{'reward_dist': -0.38713820275957134, 'reward_ctrl': -1.4178891141253873}
{'reward_dist': -0.39388372438982933, 'reward_ctrl': -1.3633053912282536}
{'reward_dist': -0.39386461960236746, 'reward_ctrl': -0.85712067179681295}
{'reward_dist': -0.39028830336160059, 'reward_ctrl': -1.2742854562634029}
{'reward_dist': -0.38324702299709679, 'reward_ctrl': -0.32072183312159225}
{'reward_dist': -0.36746812551801145, 'reward_ctrl': -0.66116922462011973}
{'reward_dist': -0.34199482764110878, 'reward_ctrl': -1.299709293567936}
{'reward_dist': -0.30829890483710082, 'reward_ctrl': -0.031039734597902609}
{'reward_dist': -0.26998697318692233, 'reward_ctrl': -0.52255270484851701}
{'reward_dist': -0.23187829659291381, 'reward_ctrl': -0.026423994889903435}
{'reward_dist': -0.20483432039807978, 'reward_ctrl': -0.98160546534548632}
{'reward_dist': -0.20610530434555552, 'reward_ctrl': -0.10495604271107058}
{'reward_dist': -0.21203106616486378, 'reward_ctrl': -0.91988391340600484}
{'reward_dist': -0.21659867992187251, 'reward_ctrl': -0.094812019374053869}
{'reward_dist': -0.22056048649923038, 'reward_ctrl': -0.92983890162935645}
{'reward_dist': -0.22880492712025582, 'reward_ctrl': -0.22771367971344109}
{'reward_dist': -0.23889954773507205, 'reward_ctrl': -0.88629581400912805}
{'reward_dist': -0.25062092149556231, 'reward_ctrl': -0.210565790398482}
{'reward_dist': -0.26634236608856221, 'reward_ctrl': -0.034789442904872528}
{'reward_dist': -0.28191300956277943, 'reward_ctrl': -1.5875093534130884}
{'reward_dist': -0.29864187825921029, 'reward_ctrl': -0.79785594326864018}
{'reward_dist': -0.31719238275097339, 'reward_ctrl': -0.33722877081682889}
{'reward_dist': -0.33339562355135033, 'reward_ctrl': -0.26581296819708244}
{'reward_dist': -0.34472111770437808, 'reward_ctrl': -1.0724371020065813}
{'reward_dist': -0.34533300229051084, 'reward_ctrl': -0.62140206894872196}
{'reward_dist': -0.33057017328450805, 'reward_ctrl': -0.43718137624658748}
{'reward_dist': -0.29710289132258261, 'reward_ctrl': -1.0614561423031525}
{'reward_dist': -0.24604318495290198, 'reward_ctrl': -1.1093730264406663}
{'reward_dist': -0.18762957478013406, 'reward_ctrl': -0.91198547583593748}
{'reward_dist': -0.13869629132398736, 'reward_ctrl': -0.95317487289217295}
{'reward_dist': -0.12408041398830252, 'reward_ctrl': -1.078379804935738}
{'reward_dist': -0.14801944828263169, 'reward_ctrl': -0.76569387047834925}
{'reward_dist': -0.20135712928213767, 'reward_ctrl': -0.74770948544057603}
{'reward_dist': -0.21849345576416374, 'reward_ctrl': -0.1619238283724681}
{'reward_dist': -0.20822023573595499, 'reward_ctrl': -0.90805168669528047}
